Galleria_mellonella	Achroia_grisella	Amyelois_transitella	Bombyx_mori	Danaus_plexippus	Helicoverpa_armigera	Ostrinia_nubilalis	Plodia_interpunctella	Plutella_xylostella	Manduca_sexta	Arctopsyche_grandis
gene-LOC113513319	gene-LOC131843222	gene-LOC106130121	.	gene-LOC116767217	gene-LOC110374859	.	gene-LOC128683921	gene-LOC105382918	gene-LOC115442558	.
gene-LOC128202592	.	.	.	.	.	.	.	.	.	.
gene-LOC113513331	.	gene-LOC106142286	gene-LOC119631019	gene-LOC116767216	gene-LOC110374868	gene-LOC135072194	gene-LOC128683827	gene-LOC105382921	gene-LOC115442557	.
gene-LOC113517935	gene-LOC131854662	gene-LOC106142285	gene-LOC101737422	gene-LOC116767489	gene-LOC110374861	gene-LOC135071614	gene-LOC128683407	gene-LOC105382953	gene-LOC115442567	.
gene-LOC116413406	gene-LOC131854662	gene-LOC106142285	gene-LOC101737422	gene-LOC116767489	gene-LOC110374861	gene-LOC135071614	gene-LOC128683407	gene-LOC105382953	gene-LOC115442567	.
gene-LOC128201257	gene-LOC131854662	gene-LOC106142289	gene-LOC101737422	gene-LOC116767489	gene-LOC110374861	gene-LOC135071614	gene-LOC128683753	gene-LOC105382953	gene-LOC115442567	.
gene-LOC128199958	gene-LOC131854662	gene-LOC106142289	gene-LOC101737422	gene-LOC116767489	gene-LOC110374861	gene-LOC135071614	gene-LOC128683753	gene-LOC105382953	gene-LOC115442567	.
gene-LOC113515865	gene-LOC131854662	gene-LOC106142289	gene-LOC101737422	gene-LOC116767489	gene-LOC110374861	gene-LOC135071614	gene-LOC128683407	gene-LOC105382953	gene-LOC115442567	.
gene-LOC113509736	gene-LOC131854662	gene-LOC106142289	gene-LOC101737422	gene-LOC116767489	gene-LOC110374861	gene-LOC135071614	gene-LOC128683753	gene-LOC105382953	gene-LOC115442567	.
gene-LOC128202549	.	.	.	.	.	.	.	.	.	.
gene-LOC113517701	gene-LOC131854638	gene-LOC106142290	gene-LOC101736301	gene-LOC116767537	gene-LOC110374897	gene-LOC135071619	gene-LOC128683892	gene-LOC105382923	gene-LOC115442590	gene-LOC143908973
gene-LOC113520926	gene-LOC131854632	gene-LOC106142279	gene-LOC101736427	gene-LOC116767480	gene-Rabex-5	gene-LOC135071624	gene-LOC128683884	gene-LOC105382924	gene-LOC115442551	gene-Rabex-5
gene-LOC113522374	gene-LOC131854634	gene-LOC106142280	gene-LOC101736555	gene-LOC116767724	gene-LOC110374894	gene-LOC135071615	gene-LOC128683885	gene-LOC105382925	gene-LOC115442552	gene-Ttc30
gene-LOC113522371	gene-LOC131854676	gene-LOC106142274	gene-LOC101736696	gene-LOC116767725	gene-LOC110374895	gene-LOC135071616	gene-LOC128683887	gene-LOC105382927	gene-LOC115442553	.
gene-LOC113522373	gene-LOC131854679	gene-LOC106142282	gene-LOC101736829	gene-LOC116767747	gene-LOC110374900	gene-LOC135071621	gene-LOC128683893	gene-LOC105382928	gene-LOC115442591	.
gene-LOC113522372	gene-LOC131854667	gene-LOC132901791	.	.	gene-LOC110374890	.	gene-LOC128683894	.	gene-LOC115442592	.
gene-LOC113522458	gene-LOC131854661	gene-LOC106142283	gene-LOC101737705	gene-LOC116767213	gene-LOC110374864	gene-LOC135071623	gene-LOC128683494	gene-LOC105382930	gene-LOC115442548	.
gene-LOC128200618	.	.	.	.	.	.	.	.	.	.
gene-LOC113513670	gene-LOC131854644	gene-LOC106142284	gene-LOC101737091	gene-LOC116767571	gene-LOC110374877	gene-LOC135071628	gene-LOC128683681	gene-LOC105382931	gene-LOC115442549	.
gene-LOC113519556	gene-LOC131854628	gene-LOC106142276	gene-LOC101737329	.	gene-LOC110374858	gene-LOC135071627	gene-LOC128683652	gene-LOC105382932	gene-LOC115442597	.
gene-LOC113513876	gene-LOC131854631	gene-LOC106142287	gene-LOC101737472	gene-LOC116767802	gene-LOC126054265	gene-LOC135071629	gene-LOC128683664	gene-LOC105382933	gene-LOC115442562	.
gene-LOC113509518	gene-LOC131854642	gene-LOC106142288	gene-LOC101737843	gene-LOC116767801	gene-LOC110372680	gene-LOC135071630	gene-LOC128683653	gene-LOC105382934	gene-LOC115442561	.
gene-LOC113517794	gene-LOC131854640	gene-LOC106141684	gene-LOC101737615	gene-LOC116767619	gene-LOC110372727	gene-LOC135071631	gene-LOC128683670	gene-LOC105382935	gene-LOC115442589	gene-BCL7-like
gene-LOC113515717	gene-LOC131854659	gene-LOC106141900	gene-LOC101737977	gene-LOC116767618	gene-LOC110372728	gene-LOC135071632	gene-LOC128683651	gene-LOC105382936	gene-LOC115442588	.
gene-LOC113512665	gene-LOC131854647	gene-LOC106140516	gene-LOC101737757	gene-LOC116767808	gene-LOC110372751	gene-LOC135071635	gene-LOC128683660	gene-LOC105382958	gene-LOC115442571	gene-LOC143909411
gene-LOC113515754	gene-LOC131854626	gene-LOC106140517	gene-LOC101738027	gene-LOC116767807	gene-LOC110372750	gene-LOC135071633	gene-LOC128683659	gene-LOC105382938	gene-LOC115442570	gene-Trxr1
gene-LOC113514401	gene-LOC131854627	gene-LOC106141099	gene-LOC101737894	gene-LOC116767809	gene-LOC110372752	gene-LOC135071636	gene-LOC128683666	gene-LOC105382937	gene-LOC115442572	gene-sni
gene-LOC113514372	gene-LOC131854648	gene-LOC106141100	gene-LOC101738424	gene-LOC116767179	gene-LOC110372749	gene-LOC135071637	gene-LOC128683650	gene-LOC105394038	gene-LOC115442569	gene-MESR4
gene-LOC113514392	gene-LOC131854674	gene-LOC106141098	gene-LOC101738557	gene-LOC116767594	gene-LOC110372736	gene-LOC135072196	gene-LOC128683667	gene-LOC105394037	gene-LOC115442585	gene-MED19
gene-LOC113514411	gene-LOC131854645	gene-LOC106140576	gene-LOC101738107	gene-LOC116767783	gene-LOC110372726	.	gene-LOC128683662	gene-LOC105394036	gene-LOC115442565	gene-LOC143909406
gene-LOC113514383	gene-LOC131854639	gene-LOC106140560	gene-LOC778504	gene-LOC116767784	gene-LOC110372725	gene-LOC135071638	gene-LOC128683663	gene-LOC105391032	gene-LOC115442566	gene-Ost48
gene-LOC113514446	gene-LOC131854641	gene-LOC106140575	gene-LOC101738239	gene-LOC116767379	gene-LOC110372710	gene-LOC135072106	gene-LOC128683654	gene-LOC105391031	gene-LOC115442594	.
gene-LOC113519516	gene-LOC131854675	gene-LOC106140561	gene-LOC101738776	gene-LOC116767737	gene-LOC110372744	gene-LOC135071639	gene-LOC128683671	gene-LOC105391030	gene-LOC115442586	.
gene-LOC113509279	gene-LOC131854637	gene-LOC106140559	gene-LOC101738913	gene-LOC116767610	gene-LOC110372741	gene-LOC135071641	gene-LOC128683661	gene-LOC105394041	gene-LOC115442593	.
gene-LOC113510206	gene-LOC131854673	gene-LOC106140572	gene-LOC101739203	gene-LOC116767786	gene-LOC110372742	gene-LOC135071642	gene-LOC128683669	gene-LOC105394034	gene-LOC115442584	.
gene-LOC113510205	gene-LOC131854643	gene-LOC106140571	gene-LOC101739342	gene-LOC116767469	gene-LOC110372704	gene-LOC135072197	gene-LOC128683668	gene-LOC105391029	gene-LOC115442580	.
gene-LOC113514632	gene-LOC131854646	gene-LOC106140570	gene-LOC101739486	gene-LOC116767468	gene-LOC110372703	gene-LOC135071644	gene-LOC128683658	gene-LOC105392162	gene-LOC115442596	.
gene-LOC113522167	gene-LOC131854636	gene-LOC106140554	gene-LOC101738512	gene-LOC116767625	gene-LOC110372687	gene-LOC135071643	gene-LOC128683409	gene-LOC105392161	gene-LOC115442578	gene-PolH
gene-LOC128200412	.	.	.	.	.	.	.	.	.	.
gene-LOC113520952	gene-LOC131854610	gene-LOC106140555	gene-RpL10	gene-LOC116767643	gene-LOC110372688	gene-LOC135071647	gene-LOC128683412	gene-LOC105396740	gene-LOC115442579	gene-RpL10
gene-LOC113520953	gene-LOC131854671	gene-LOC106140573	gene-LOC101739623	gene-LOC116767333	gene-LOC110372679	gene-LOC135072107	gene-LOC128683410	gene-LOC105394031	gene-LOC115442563	gene-Mrgn1
gene-LOC113521003	gene-LOC131854677	gene-LOC106140574	gene-Fmbp-1	gene-LOC116767335	gene-LOC110372715	gene-LOC135072200	gene-LOC128683411	gene-LOC105391027	gene-LOC115442564	.
gene-LOC113513324	gene-LOC131854658	gene-LOC106140569	gene-LOC101740168	gene-LOC116767329	gene-LOC110372720	gene-LOC135071653	gene-LOC128683552	gene-LOC105394032	gene-LOC115442600	gene-GTPBP1
gene-LOC113511013	gene-LOC131854672	gene-LOC106140567	gene-LOC101740037	gene-LOC116767330	gene-Med9	gene-LOC135071652	gene-LOC128683553	gene-LOC105391028	gene-LOC115442601	gene-MED9
gene-LOC113509112	gene-LOC131854680	gene-LOC106140568	gene-LOC101739903	gene-LOC116767193	gene-Pea	gene-LOC135071648	gene-LOC128683619	gene-LOC105391022	gene-LOC115442599	.
gene-LOC113521114	gene-LOC131854630	gene-LOC106140566	gene-LOC101739767	gene-LOC116767451	gene-LOC110372712	gene-LOC135071650	gene-LOC128683680	gene-LOC105392164	gene-LOC115442574	.
gene-LOC113513250	gene-LOC131854629	gene-LOC106140565	gene-LOC101740306	gene-LOC116767450	gene-LOC110372711	gene-LOC135071649	gene-LOC128683679	gene-LOC105394026	gene-LOC115442573	.
gene-LOC113515893	gene-LOC131854657	gene-LOC106140562	gene-LOC101738641	gene-LOC116767502	gene-LOC110372678	gene-LOC135072109	gene-LOC128683864	gene-LOC105392172	gene-LOC115442581	.
gene-LOC128200240	.	.	.	.	.	.	.	.	.	.
gene-LOC113510264	gene-LOC131854617	gene-LOC106140564	gene-LOC101740571	.	gene-LOC110372693	.	gene-LOC128683878	gene-LOC105394024	.	.
gene-LOC113510263	gene-LOC131854656	gene-LOC106141662	gene-LOC101740437	gene-LOC116767452	gene-LOC110372690	gene-LOC135071651	gene-LOC128683869	gene-LOC105394025	gene-LOC115442582	.
gene-LOC113510265	gene-LOC131854615	gene-LOC106140557	gene-LOC101740707	gene-LOC116767453	gene-LOC110372692	gene-LOC135071654	gene-LOC128683877	gene-LOC105394022	gene-LOC115442583	gene-loj
gene-LOC113513781	gene-LOC131854611	gene-LOC106140556	gene-LOC101739343	gene-LOC116767427	gene-Exn	gene-LOC135072110	gene-LOC128683863	gene-LOC105383149	gene-LOC115442575	gene-Exn
gene-Trnae-cuc	.	.	.	.	.	.	.	.	.	.
gene-LOC113513586	gene-LOC131854655	gene-LOC106137108	gene-LOC101739624	gene-LOC116767770	gene-LOC110372677	gene-LOC135072111	gene-LOC128683865	gene-LOC105383150	gene-LOC115442576	gene-BBS1
gene-LOC113514092	gene-LOC131854621	gene-LOC106137109	gene-ACBP-like	gene-LOC116767499	gene-LOC110372743	gene-LOC135071659	gene-LOC128683880	gene-LOC105383119	gene-LOC115442595	.
gene-LOC113515269	gene-LOC131854619	gene-LOC106140317	gene-ACBP	gene-LOC116767440	gene-LOC110372695	gene-LOC135071657	gene-LOC128683881	gene-LOC105396282	gene-LOC115450264	gene-LOC143916146
gene-LOC113513791	gene-LOC131854619	gene-LOC106140317	gene-ACBP	gene-LOC116767440	gene-LOC110372695	gene-LOC135071657	gene-LOC128683881	gene-LOC105396282	gene-LOC115450264	gene-LOC143916146
gene-LOC113513789	gene-LOC131854613	gene-LOC106140316	gene-LOC134199558	gene-LOC116767439	gene-LOC110372694	gene-LOC135071656	gene-LOC128683875	gene-LOC105383122	gene-LOC115450263	gene-LOC143916138
gene-LOC113510982	gene-LOC131854618	gene-LOC132904442	gene-LOC105842205	gene-LOC116767343	gene-LOC110372724	.	gene-LOC128683879	gene-LOC105383123	gene-LOC115450265	.
gene-LOC113520242	gene-LOC131854616	gene-LOC106140315	gene-Time	gene-LOC116767342	gene-LOC110372709	gene-LOC135071660	gene-LOC128683876	gene-LOC105383124	gene-LOC115450271	gene-LOC143916134
gene-LOC113520147	gene-LOC131854622	gene-LOC106140313	gene-LOC134199559	gene-LOC116767340	.	gene-LOC135072204	gene-LOC128683872	gene-LOC105383125	gene-LOC115450270	.
gene-LOC113519359	gene-LOC131854612	gene-LOC106140314	gene-LOC105841985	gene-LOC116767344	gene-LOC110372747	gene-LOC135072112	gene-LOC128683873	gene-LOC105383152	gene-LOC115450268	.
gene-LOC113519360	gene-LOC131854624	gene-LOC106140294	gene-LOC101741277	gene-LOC116767341	gene-LOC110372732	gene-LOC135071661	gene-LOC128683874	gene-LOC105383126	gene-LOC115450269	gene-LOC143915745
gene-LOC116413396	gene-LOC131854654	gene-LOC106142373	gene-LOC101740169	gene-LOC116767756	gene-LOC110372746	.	gene-LOC128683867	.	gene-LOC115450266	.
gene-Trnag-gcc	.	.	.	.	.	.	.	.	.	.
gene-LOC116413417	gene-LOC131854653	.	.	.	gene-LOC110372739	.	.	.	.	.
gene-LOC113517442	gene-LOC131854652	.	.	.	.	.	.	.	.	.
gene-Trnag-gcc-2	.	.	.	.	.	.	.	.	.	.
gene-LOC113517440	gene-LOC131854668	gene-LOC106141364	gene-LOC101740438	gene-LOC116767620	gene-LOC110372723	gene-LOC135072115	gene-LOC128682914	gene-LOC105390148	gene-LOC115450491	gene-LOC143916120
gene-Trnae-cuc-2	.	.	.	.	.	.	.	.	.	.
gene-Trnag-gcc-3	.	.	.	.	.	.	.	.	.	.
gene-LOC116413416	gene-LOC131854670	gene-LOC106141581	gene-LOC105842177	gene-LOC133320161	gene-LOC126054285	.	gene-LOC128683047	gene-LOC105390141	.	.
gene-LOC116413415	gene-LOC131854669	gene-LOC106141581	gene-LOC105842177	gene-LOC133320161	gene-LOC126054285	.	gene-LOC128683047	gene-LOC105390141	.	.
gene-LOC113522116	gene-LOC131853707	gene-LOC106140649	gene-Ero1	gene-LOC116767621	gene-Ero1l	gene-LOC135071663	gene-LOC128683056	gene-LOC105394334	gene-LOC115450408	.
gene-LOC113517439	gene-LOC131853698	gene-LOC106134472	gene-LOC692847	gene-LOC116767622	gene-LOC110372681	gene-LOC135071664	gene-LOC128683151	gene-LOC105394318	gene-LOC115450424	gene-Tsp42Ed
gene-LOC113517559	gene-LOC131853699	gene-LOC106134489	gene-LOC119628988	gene-LOC116767548	gene-LOC110372734	gene-LOC135071675	gene-LOC128683118	gene-LOC105390246	gene-LOC115450535	.
gene-LOC113517438	gene-LOC131853710	gene-LOC106134473	gene-LOC101741846	gene-LOC116767312	gene-LOC110372733	.	gene-LOC128682972	gene-LOC125489049	gene-LOC115450526	.
gene-LOC113517512	gene-LOC131853708	gene-LOC106134509	gene-LOC101741997	gene-LOC116767549	gene-LOC110372718	gene-LOC135071679	gene-LOC128683163	gene-LOC105390230	gene-LOC115451130	.
gene-LOC113517437	gene-LOC131853720	gene-LOC106134507	gene-LOC101742239	gene-LOC116767311	gene-LOC110372716	gene-LOC135071684	gene-LOC128682981	gene-LOC105394302	gene-LOC115451085	.
gene-LOC113517511	gene-LOC131853719	gene-LOC106134508	gene-Jm	gene-LOC116767547	gene-LOC110372717	gene-LOC135071674	gene-LOC128683078	gene-LOC105394292	gene-LOC115451140	.
gene-LOC113517517	gene-LOC131853706	gene-LOC106134493	gene-LOC101742474	gene-LOC116767522	gene-LOC110372696	gene-LOC135071665	gene-LOC128683158	gene-LOC105394282	gene-LOC115450727	.
gene-LOC113517496	gene-LOC131853690	gene-LOC106134517	gene-LOC101742617	gene-LOC116767749	gene-LOC110372705	gene-LOC135071683	gene-LOC128683014	gene-LOC105394261	gene-LOC115450863	.
gene-LOC128201851	.	.	.	.	.	.	.	.	.	.
gene-LOC113517498	gene-LOC131853692	gene-LOC106134540	gene-LOC101743054	gene-LOC116767662	gene-LOC110372707	gene-LOC135071667	gene-LOC128683168	gene-LOC105394250	gene-LOC115450564	.
gene-LOC113517499	gene-LOC131853691	gene-LOC106134539	gene-LOC101743201	gene-LOC116767222	gene-LOC110372737	gene-LOC135071666	gene-LOC128683073	gene-LOC105394240	gene-LOC115450552	.
gene-LOC113517653	gene-LOC131853722	gene-LOC106134504	gene-LOC101743337	gene-LOC116767220	gene-LOC110372702	gene-LOC135071680	gene-LOC128683177	gene-LOC105394208	gene-LOC115451452	.
gene-LOC113517289	gene-LOC131853721	gene-LOC106134506	gene-LOC693101	gene-LOC116767393	gene-LOC110372701	gene-LOC135071678	gene-LOC128683132	gene-LOC105394201	gene-LOC115451434	gene-LOC143916139
gene-LOC128201844	.	.	.	.	.	.	.	.	.	.
gene-LOC113517433	gene-LOC131853712	gene-LOC106134475	gene-LOC101738907	gene-LOC116767394	gene-LOC110372697	gene-LOC135071677	gene-LOC128683141	gene-LOC105394192	gene-LOC115451420	.
gene-LOC113517337	gene-LOC131853709	gene-LOC132904456	gene-LOC101743758	gene-LOC116767717	gene-LOC110372698	gene-LOC135071676	gene-LOC128683124	gene-LOC105394181	gene-LOC115451428	.
gene-LOC113517713	gene-LOC131853705	gene-LOC106134535	gene-LOC101743908	gene-LOC116767512	gene-LOC110372713	gene-LOC135072077	gene-LOC128683109	gene-LOC105394172	gene-LOC115451413	gene-Tsp29Fb
gene-LOC113517514	gene-LOC131853701	gene-LOC106134530	gene-LOC101736115	gene-LOC116767519	gene-LOC110372735	gene-LOC135071670	gene-LOC128683103	gene-LOC105394162	gene-LOC115451484	.
